#,Symbol,Signal,Entry,Exit,Reason,Alloc_EUR,Pyr_EUR,Ret%,PnL_EUR,PnL_Pyr_EUR,Hold_d,W/L
48,CSCO,rsi_macd,2019-12-13,2020-02-24,ema_cross,2623,0,-3.5,-91,0,73,L
49,UNH,rsi_macd,2019-10-11,2020-02-28,ema_cross,5375,761,11.2,687,-37,140,W
50,DTE.DE,rsi_macd,2020-01-10,2020-03-09,ema_cross,4913,0,-7.8,-383,0,59,L
51,WMT,ema_cross,2020-02-19,2020-06-15,ema_cross,4108,0,-0.3,-13,0,117,L
52,LLY,ema_cross,2020-06-01,2020-08-10,ema_cross,4374,0,-1.0,-42,0,70,L
53,WFC,rsi_macd,2020-05-27,2020-08-20,grace_exit,3977,3977,-20.3,-1618,-1053,85,L
54,BTC-USD,rsi_macd,2020-07-07,2020-09-11,ema_cross,3206,761,8.0,318,-43,66,W
55,PFE,rsi_macd,2020-07-02,2020-09-23,ema_cross,2672,0,5.0,134,0,83,W
56,DTE.DE,rsi_macd,2020-08-10,2020-09-25,ema_cross,3498,0,-4.9,-172,0,46,L
57,LQD,rsi_macd,2020-08-21,2020-10-02,ema_cross,5768,0,-0.6,-37,0,42,L
58,MS,rsi_macd,2020-10-06,2020-10-30,ema_cross,5243,0,-1.4,-74,0,24,L
59,AMZN,rsi_macd,2020-09-23,2020-11-16,ema_cross,3161,0,0.3,11,0,54,W
60,PEP,ema_cross,2020-10-01,2021-01-25,ema_cross,3293,0,1.2,41,0,116,W
61,DTE.DE,rsi_macd,2020-11-05,2021-02-19,ema_cross,4188,0,6.8,287,0,106,W
62,BTC-USD,rsi_macd,2020-09-15,2021-05-14,ema_cross,4582,1245,350.4,20421,3605,241,W
63,OR.PA,rsi_macd,2021-01-27,2021-09-27,ema_cross,3342,858,21.8,916,68,243,W
64,NESN.SW,rsi_macd,2021-03-05,2021-09-27,ema_cross,3613,3613,8.5,615,33,206,W
65,GS,rsi_macd,2021-09-28,2021-10-04,ema_cross,5216,0,-6.6,-342,0,6,L
66,CSCO,ema_cross,2020-11-16,2021-10-05,ema_cross,3375,794,31.1,1295,119,323,W
67,XLK,rsi_macd,2021-05-17,2021-10-06,ema_cross,21035,1564,11.2,2535,-34,142,W
68,MRK,rsi_macd,2021-09-30,2021-12-02,ema_cross,6259,3635,-7.3,-724,-584,63,L
69,HYG,rsi_macd,2021-12-03,2022-01-19,ema_cross,7489,0,-0.2,-15,0,47,L
70,XLB,rsi_macd,2021-10-08,2022-01-26,ema_cross,15305,0,1.3,196,0,110,W
71,XLU,rsi_macd,2021-10-07,2022-02-11,ema_cross,12754,0,2.8,356,0,127,W
72,AAPL,rsi_macd,2022-01-31,2022-02-28,ema_cross,13611,0,-2.8,-386,0,28,L
73,DTE.DE,rsi_macd,2022-01-19,2022-03-02,ema_cross,6054,0,1.0,60,0,42,W
74,NVDA,ema_cross,2022-03-22,2022-04-11,ema_cross,12620,0,-18.0,-2270,0,20,L
75,ABBV,rsi_macd,2021-10-04,2022-05-24,ema_cross,5151,1779,36.5,2531,405,232,W
76,HYG,rsi_macd,2022-03-18,2022-06-14,grace_exit,9561,0,-9.3,-890,0,88,L
77,META,rsi_macd,2022-03-21,2022-06-15,grace_exit,10517,0,-21.0,-2213,0,86,L
78,OR.PA,rsi_macd,2022-05-30,2022-09-16,ema_cross,9186,0,3.2,298,0,109,W
79,BTC-USD,rsi_macd,2022-09-10,2022-11-09,ema_cross,8201,0,-25.7,-2108,0,60,L
80,AMZN,ema_cross,2023-01-17,2023-03-01,ema_cross,8948,0,-6.6,-590,0,43,L
