ticker,type,entry_date,exit_date,exit_reason,pnl_eur,pnl_pct,bars_held,ticker_class,pit_rule,sp500_member,dollar_vol_at_entry,entry_price,position_eur,max_r_mult,strike,entry_option_price,spread_pct
EWG,stock,2025-05-29,2025-06-11,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,55159332.0,41.29,604.16,0.59,,,
PPLT,stock,2025-05-22,2025-07-30,trailing_stop,140.11,23.11,46,etf,etf_inception,,15897324.0,98.22,606.3,9.9,,,
SPXL,stock,2025-05-06,2025-08-01,trailing_stop,215.56,35.5,60,etf,etf_inception,,631412587.0,129.56,607.19,4.0,,,
TQQQ,stock,2025-05-06,2025-08-01,trailing_stop,296.88,48.9,60,etf,etf_inception,,4226894322.0,27.91,607.19,4.58,,,
ETN,stock,2025-05-05,2025-08-05,trailing_stop,157.25,23.39,63,us_stock,sp500,True,807423094.0,293.89,672.21,4.43,,,
MSFT,stock,2025-05-05,2025-08-07,trailing_stop,136.01,20.23,65,us_stock,sp500,True,8800014659.0,430.01,672.21,4.06,,,
DE,stock,2025-05-05,2025-08-14,trailing_stop,14.58,2.17,70,us_stock,sp500,True,580978519.0,476.22,672.21,2.0,,,
META,stock,2025-08-04,2025-08-18,trailing_stop,-0.0,-0.0,10,us_stock,sp500,True,8713166909.0,758.98,668.26,0.73,,,
LQD,stock,2025-08-05,2025-08-18,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,2764196353.0,106.97,683.99,0.52,,,
EWJ,stock,2025-08-14,2025-08-27,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,338837906.0,75.96,699.04,0.8,,,
BATS.L,stock,2025-05-08,2025-09-02,trailing_stop,149.78,24.67,81,eu_stock,dollar_vol,,12482296957.0,3179.56,607.19,10.55,,,
INTC,stock,2025-08-18,2025-09-02,trailing_stop,-0.0,-0.0,10,us_stock,sp500,True,1953964873.0,24.02,699.04,0.66,,,
AEP,stock,2025-08-01,2025-09-03,trailing_stop,-27.37,-4.1,22,us_stock,sp500,True,321297552.0,111.77,668.26,0.14,,,
