entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2020-01-24,2020-02-06,PEP,stock,118.84,118.84,,865.0,7.2756,-0.0,-0.0,9,0.11,trailing_stop
2020-01-24,2020-02-07,INTC,stock,58.78,58.78,,865.0,14.7101,-0.0,-0.0,10,0.38,trailing_stop
2020-01-29,2020-02-12,TLT,stock,120.12,120.12,,865.0,7.1981,-0.0,-0.0,10,0.83,trailing_stop
2020-02-03,2020-02-24,MSFT,stock,161.61,164.36,,918.0,5.6832,15.64,1.7,14,3.18,trailing_stop
2020-02-03,2020-05-05,DBK.DE,option_eu,0.87,0.33,7.07,1286.0,14.76,-792.46,-61.63,63,1.54,dte_exit
2020-02-04,2020-02-24,AMZN,stock,101.6,101.77,,1052.0,10.3558,1.86,0.18,13,1.67,trailing_stop
2020-02-07,2020-02-21,NOVO-B.CO,stock,197.27,197.27,,1052.0,5.3333,-0.0,-0.0,10,0.29,trailing_stop
2020-02-07,2020-02-24,ISP.MI,stock,1.64,1.65,,1052.0,640.7386,3.8,0.36,11,1.24,trailing_stop
2020-02-12,2020-02-25,BBVA.MC,stock,3.72,3.53,,1052.0,282.7173,-53.6,-5.1,9,0.16,trailing_stop
2020-02-20,2020-05-05,AMD,option_us,7.16,3.98,55.52,1484.0,2.07,-660.3,-44.49,52,0.49,dte_exit
2020-02-21,2020-02-28,GDXJ,stock,40.53,34.42,,1060.0,26.1568,-159.92,-15.09,5,0.18,emergency_stop
2020-02-24,2020-02-28,PLD,stock,82.91,70.41,,1062.0,12.8112,-160.24,-15.08,4,0.0,emergency_stop
2020-02-24,2020-02-28,DLR,stock,110.87,94.15,,1062.0,9.5808,-160.24,-15.08,4,0.0,emergency_stop
2020-02-24,2020-02-28,O,stock,58.8,49.93,,1062.0,18.0658,-160.24,-15.09,4,0.0,emergency_stop
2020-02-25,2020-03-10,GLD,stock,155.28,155.27,,1057.0,6.8065,-0.0,-0.0,10,0.88,trailing_stop
2020-04-21,2020-05-04,TQQQ,stock,7.5,7.5,,904.0,120.5593,-0.0,-0.0,9,0.72,trailing_stop
2020-04-21,2020-05-05,NESN.SW,stock,91.28,86.63,,904.0,9.9073,-46.07,-5.1,9,0.0,trailing_stop
2020-04-21,2020-05-05,ERIC-B.ST,stock,70.98,67.36,,904.0,12.7409,-46.07,-5.09,9,0.0,trailing_stop
2020-04-21,2020-05-13,DIA,stock,208.53,208.53,,904.0,4.3365,-0.0,-0.0,16,0.95,trailing_stop
2020-04-21,2020-05-14,SPXL,stock,30.1,30.1,,904.0,30.0428,-0.0,-0.0,17,0.98,trailing_stop
2020-04-21,2020-05-18,SAN.PA,stock,70.37,70.37,,904.0,12.8504,-0.0,-0.0,18,1.02,trailing_stop
2020-04-21,2020-06-26,GOOGL,stock,61.69,67.66,,904.0,14.6594,87.54,9.68,47,2.53,trailing_stop
